SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,PLAYER_NAME,SEASON,MIN_PLAYED,PTS_L5,PTS_L10,REB_L5,REB_L10,AST_L5,AST_L10,FG_PCT_L5,FG_PCT_L10,FG3_PCT_L5,FG3_PCT_L10,PLUS_MINUS_L5,PLUS_MINUS_L10,GAME_NUMBER,WIN,PERFORMANCE_TREND,CONSISTENCY,FATIGUE_PROXY,HOT_STREAK,COLD_STREAK,NEXT_GAME_PTS,SEASON_PROGRESS,WIN_RATE_L10
22022,1630162,22200010,2022-10-19,MIN vs. OKC,W,32,4,17,0.235,1,7,0.143,2,4,0.5,1,7,8,7,0,0,2,5,11,8,1,Anthony Edwards,2022-23,32,11.0,11.0,8.0,8.0,7.0,7.0,0.235,0.235,0.143,0.143,8.0,8.0,1,1,0.0,,32.0,0.0,0.0,30.0,0.012658227848101266,1.0
22022,1630162,22200025,2022-10-21,MIN vs. UTA,L,41,12,23,0.522,3,9,0.333,3,5,0.6,1,4,5,2,0,1,5,0,30,-6,1,Anthony Edwards,2022-23,41,20.5,20.5,6.5,6.5,4.5,4.5,0.3785,0.3785,0.238,0.238,1.0,1.0,2,0,0.0,,73.0,0.0,0.0,30.0,0.02531645569620253,0.5
22022,1630162,22200041,2022-10-23,MIN @ OKC,W,34,13,19,0.684,3,7,0.429,1,3,0.333,2,9,11,3,1,0,4,4,30,22,1,Anthony Edwards,2022-23,34,23.666666666666668,23.666666666666668,8.0,8.0,4.0,4.0,0.4803333333333333,0.4803333333333333,0.3016666666666667,0.3016666666666667,8.0,8.0,3,1,0.0,10.969655114602888,107.0,0.0,0.0,9.0,0.0379746835443038,0.6666666666666666
22022,1630162,22200050,2022-10-24,MIN vs. SAS,L,35,3,15,0.2,1,8,0.125,2,3,0.667,0,10,10,2,0,0,3,1,9,-14,1,Anthony Edwards,2022-23,35,20.0,20.0,8.5,8.5,3.5,3.5,0.41025,0.41025,0.2575,0.2575,2.5,2.5,4,0,0.0,11.575836902790225,142.0,0.0,0.0,34.0,0.05063291139240506,0.5
22022,1630162,22200062,2022-10-26,MIN vs. SAS,W,38,12,21,0.571,7,12,0.583,3,4,0.75,0,3,3,9,2,0,5,3,34,16,1,Anthony Edwards,2022-23,38,22.8,22.8,7.4,7.4,4.6,4.6,0.4423999999999999,0.4423999999999999,0.3226,0.3226,5.2,5.2,5,1,0.0,11.819475453673906,180.0,0.0,0.0,29.0,0.06329113924050633,0.6
22022,1630162,22200076,2022-10-28,MIN vs. LAL,W,38,11,22,0.5,3,8,0.375,4,6,0.667,0,4,4,2,1,0,2,4,29,4,1,Anthony Edwards,2022-23,38,26.4,23.833333333333332,6.6,6.833333333333333,3.6,4.166666666666667,0.4954,0.4519999999999999,0.369,0.3313333333333333,4.4,5.0,6,1,2.5666666666666664,10.870449239413551,186.0,0.0,0.0,18.0,0.0759493670886076,0.6666666666666666
22022,1630162,22200092,2022-10-30,MIN @ SAS,L,36,7,18,0.389,1,4,0.25,3,3,1.0,0,2,2,6,2,1,1,4,18,-3,1,Anthony Edwards,2022-23,36,24.0,23.0,6.0,6.142857142857143,4.4,4.428571428571429,0.4688,0.443,0.3524,0.3197142857142857,5.0,3.857142857142857,7,0,1.0,10.16530045465127,181.0,0.0,0.0,24.0,0.08860759493670886,0.5714285714285714
22022,1630162,22200106,2022-11-01,MIN @ PHX,L,40,8,21,0.381,5,10,0.5,3,5,0.6,0,6,6,1,3,1,3,5,24,-12,1,Anthony Edwards,2022-23,40,22.8,23.125,5.0,6.125,4.0,4.0,0.4082,0.43525,0.3666,0.34225,-1.8,1.875,8,0,-0.3249999999999993,9.417878135303544,187.0,0.0,0.0,24.0,0.10126582278481013,0.5
22022,1630162,22200129,2022-11-04,MIN vs. MIL,L,37,10,19,0.526,3,9,0.333,1,2,0.5,1,2,3,3,1,0,3,4,24,-16,1,Anthony Edwards,2022-23,37,25.8,23.22222222222222,3.6,5.777777777777778,4.2,3.888888888888889,0.4734,0.4453333333333333,0.4082,0.3412222222222222,-2.2,-0.1111111111111111,9,0,2.5777777777777793,8.814445214784902,189.0,0.0,0.0,19.0,0.11392405063291139,0.4444444444444444
22022,1630162,22200137,2022-11-05,MIN vs. HOU,W,33,7,13,0.538,2,5,0.4,3,3,1.0,0,2,2,3,2,0,4,2,19,20,1,Anthony Edwards,2022-23,33,22.8,22.8,3.4,5.4,3.0,3.8,0.4668,0.4546,0.3716,0.3471,-1.4,1.9,10,1,0.0,8.416914187779536,184.0,0.0,0.0,16.0,0.12658227848101267,0.5
