PLAYER_NAME,SEASON,GAME_DATE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,ACTION_TYPE,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,SECONDS_LEFT_IN_PERIOD,IS_CLUTCH,IS_THREE
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,1,2PT Field Goal,Restricted Area,Center(C),1,2,16,Driving Layup Shot,1,10,9,609,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,3PT Field Goal,Above the Break 3,Center(C),25,31,257,Jump Shot,1,7,29,449,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,3PT Field Goal,Above the Break 3,Center(C),25,-54,252,Pullup Jump shot,1,5,21,321,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,1,3PT Field Goal,Above the Break 3,Center(C),25,44,251,Jump Shot,1,1,54,114,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,2PT Field Goal,Restricted Area,Center(C),1,-7,13,Driving Layup Shot,1,1,22,82,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-183,174,Jump Shot,2,4,54,294,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,1,2PT Field Goal,Restricted Area,Center(C),3,24,18,Driving Layup Shot,2,1,29,89,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-195,158,Step Back Jump shot,2,0,46,46,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,2PT Field Goal,Restricted Area,Center(C),2,-1,29,Driving Layup Shot,2,0,4,4,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,2PT Field Goal,Mid-Range,Left Side Center(LC),19,-119,159,Pullup Jump shot,3,11,37,697,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,2PT Field Goal,Restricted Area,Center(C),1,-6,11,Driving Layup Shot,3,9,39,579,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,1,2PT Field Goal,Mid-Range,Right Side(R),9,86,39,Turnaround Fadeaway shot,3,7,57,477,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,3PT Field Goal,Above the Break 3,Left Side Center(LC),25,-153,201,Pullup Jump shot,3,6,12,372,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,203,130,Jump Shot,3,4,30,270,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,2PT Field Goal,Restricted Area,Center(C),2,-9,22,Driving Layup Shot,4,3,41,221,1,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,2PT Field Goal,Restricted Area,Center(C),2,-13,26,Running Layup Shot,4,1,52,112,1,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221019,0,2PT Field Goal,In The Paint (Non-RA),Center(C),14,70,132,Pullup Jump shot,4,0,57,57,1,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,3PT Field Goal,Right Corner 3,Right Side(R),24,227,81,Step Back Jump shot,1,9,42,582,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,2PT Field Goal,Restricted Area,Center(C),1,-15,11,Driving Layup Shot,1,8,53,533,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,2PT Field Goal,Restricted Area,Center(C),1,-7,10,Driving Layup Shot,1,7,11,431,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,3PT Field Goal,Above the Break 3,Right Side Center(RC),24,214,113,Jump Shot,1,4,29,269,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,2PT Field Goal,Restricted Area,Center(C),0,-5,7,Running Finger Roll Layup Shot,1,2,8,128,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,3PT Field Goal,Above the Break 3,Center(C),24,-37,247,Pullup Jump shot,1,1,38,98,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,3PT Field Goal,Backcourt,Back Court(BC),42,-2,424,Jump Shot,1,0,0,0,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,2PT Field Goal,Restricted Area,Center(C),1,-6,17,Driving Layup Shot,2,3,44,224,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,2PT Field Goal,Restricted Area,Center(C),0,0,1,Driving Layup Shot,2,2,54,174,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,3PT Field Goal,Left Corner 3,Left Side(L),24,-232,85,Jump Shot,2,2,3,123,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,2PT Field Goal,Restricted Area,Center(C),1,-2,17,Driving Layup Shot,2,1,28,88,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,2PT Field Goal,Restricted Area,Center(C),1,2,15,Driving Layup Shot,3,10,56,656,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,2PT Field Goal,Restricted Area,Center(C),1,1,14,Cutting Layup Shot,3,7,12,432,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,2PT Field Goal,Restricted Area,Center(C),2,6,27,Layup Shot,3,5,55,355,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,3PT Field Goal,Above the Break 3,Center(C),25,60,251,Pullup Jump shot,3,5,16,316,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,2PT Field Goal,Restricted Area,Center(C),2,-1,22,Driving Layup Shot,3,4,22,262,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,113,230,Jump Shot,3,2,27,147,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,3PT Field Goal,Above the Break 3,Right Side Center(RC),25,132,216,Jump Shot,3,1,55,115,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,3PT Field Goal,Above the Break 3,Left Side Center(LC),24,-134,211,Step Back Jump shot,4,5,31,331,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,2PT Field Goal,Restricted Area,Center(C),3,20,27,Driving Layup Shot,4,4,4,244,1,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,0,2PT Field Goal,Restricted Area,Center(C),2,-21,20,Driving Layup Shot,4,3,32,212,1,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,2PT Field Goal,Restricted Area,Center(C),2,11,26,Driving Layup Shot,4,2,13,133,1,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221021,1,2PT Field Goal,Restricted Area,Center(C),2,-25,16,Driving Layup Shot,4,1,16,76,1,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221023,1,2PT Field Goal,Restricted Area,Center(C),2,-2,23,Floating Jump shot,1,11,9,669,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221023,1,2PT Field Goal,Restricted Area,Center(C),1,-13,13,Driving Finger Roll Layup Shot,1,8,54,534,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221023,0,3PT Field Goal,Above the Break 3,Left Side Center(LC),26,-92,251,Step Back Jump shot,1,7,59,479,0,1
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221023,1,2PT Field Goal,Restricted Area,Center(C),0,-5,8,Driving Reverse Layup Shot,1,6,59,419,0,0
Anthony Edwards,2022-23,1970-01-01 00:00:00.020221023,1,2PT Field Goal,Restricted Area,Center(C),3,-36,16,Driving Layup Shot,1,4,49,289,0,0
